,,,
Subject 1,Column 1,Column 2,Column 3
Task,File,Start TIme (minutes),End Time (minutes)
Task,File,Start Time (minutes),End Time (minutes)
1,1.py,07-27,08-02
1,1.py,09-12,10-18
1,1.py,10-18,10-48
1,1.py,10-58,11-03
1,2.py,13-48,14-18
1,2.py,14-34,15-19
1,2.py,15-49,16-19
1,2.py,16-19,16-34
1,2.py,16-44,17-24
1,3.py,17-54,18-19
1,3.py,18-44,19-19
1,4.py,20-59,21-14
1,4.py,22-02,22-17
2,1.py,24-27,24-42
2,1.py,25-47,26-07
2,2.c,27-27,28-02
2,2.c,28-45,29-05
2,2.c,29-06,29-25
2,2.c,29-36,30-36
2,3.py,32-41,32-51
2,3.py,33-41,33-56
2,4.c,35-51,35-06
2,4.c,36-21,36-46
2,4.c,36-46,37-26
2,4.c,37-41,38-01
2,4.c,38-16,38-26
2,4.c,38-46,39-46
,,,
,,,
,,,
Subject 14,Column 2,Column 3,Column 4
Task,File,Start Time (minutes),End Time (minutes)
1,1.py,13:43,14:33
1,1.py,14:38,15:03
1,2.py,17:18,17:43
1,3.py,19:13,19:48
1,3.py,19:58,20:18
1,4.py,22:03,22:28
1,3.py,24:53,25:08
2,1.py,29:48,30:03
2,1.py,30:28,30:48
2,1.py,30:53,31:03
2,1.py,31:38,31:53
2,2.c,33:03,33:48
2,2.c,34:18,34:58
2,2.c,35:03,35:53
2,3.py,36:23,36:28
2,3.py,38:28,38:58
2,3.py,39:38,40:18
2,3.py,40:28,40:48
2,4.c,-,-
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Subject 15,,,
Task,File,Start Time (minutes),End Time (minutes)
,,,
Made Changes directly to the code,,,
,,,
,,,
,,,
,,,
Sub 7,Column 1,Column 2,Column 3
Task,File,Start,End
1,1.py,00:48,01:11
1,1.py,02:16,02:51
1,2.py,03:18,03:32
1,2.py,04:58,05:50
1,3.py,06:48,07:10
1,3.py,09:03,09:24
1,4.py,10:26,10:49
1,4.py,13:16,14:00
2,1.py,21:02,21:24
2,1.py,23:05,23:21
2,2.c,24:23,24:48
2,2.c,25:02,25:14
2,2.c,25:14,25:19
2,3.py,26:10,26:17
2,3.py,28:38,28:49
2,4.c,29:16,29:28
2,4.c,32:37,33:17
2,4.c,33:36,33:56
,,,
Sub 8,Column 1,Column 2,Column 3
Task,File,Start,End
1,1.py,04:10,04:17
1,1.py,05:18,05:30
1,1.py,05:37,06:12
1,2.py,07:15,07:30
1,3.py,10:25,10:53
1,3.py,11:53,12:15
1,4.py,14:00,14:19
2,1.py,19:42,19:55
2,1.py,20:10,20:21
2,2.c,22:40,24:23
2,2.c,24:58,25:38
2,3.py,30:46,31:01
2,4.c,-,-
