,power_1,differential_entropy1,mean1,std1,skew1,kurtosis1,iqr1,median1,hjorth_01,hjorth_11,ftime
0,74371.7190646086,6.994386460691288,32415.457201142388,705.9757829316274,-39.48976859337967,1810.4921513177896,449.2350000000006,223.7599999999984,0.022349616925970667,1.0429662971601699,1900-01-01 12:21:20
1,19386.85748811621,6.328633903655928,32499.17520717132,138.70479054487095,-0.2704951633198358,0.12041035950053969,186.29750000000058,93.50499999999738,0.0043465685226876894,1.181834294488482,1900-01-01 12:21:30
2,25470.338365600954,6.463565053597036,32487.60837274549,161.4845233374157,-0.2447122034560821,-0.18892635484621412,234.1800000000003,117.77000000000044,0.004783645006508305,1.1803931257384548,1900-01-01 12:21:40
3,26495.21669022935,6.483639102942789,32570.399545816734,165.86604074752574,-0.18983509366968296,-0.28259612684702295,241.47499999999854,121.01000000000022,0.005118970362100838,1.1800655684538999,1900-01-01 12:21:50
4,26977.856484303466,6.478042164837926,32560.19632064128,163.75019239924873,-0.3417356692081166,0.02136737064273264,221.14999999999782,111.17000000000189,0.004953911208182395,1.1804071533241771,1900-01-01 12:22:00
5,23318.99155828761,6.416080708073646,32597.838780876496,154.416488866353,-0.26002659041804665,-0.12230419582683005,228.85250000000087,112.98500000000058,0.004821114628990036,1.1801587886476306,1900-01-01 12:22:10
6,22938.083604524145,6.417769098302853,32608.26250501002,152.99635619122782,-0.08065652551388812,-0.5024048281771343,226.8249999999971,112.46999999999753,0.004792114843307421,1.1799964379778876,1900-01-01 12:22:20
7,27684.291638967752,6.444992130218569,32542.788768924303,161.0886837423382,-0.12705379022498162,-0.6351798803006208,262.067500000001,131.85500000000138,0.005114081747588176,1.1797535157544203,1900-01-01 12:22:30
8,26595.996590454874,6.460819045029884,32494.71678156313,159.43927313651108,-0.00807818086225407,-0.577327657008484,232.78000000000247,116.63000000000102,0.005191803928017848,1.1804579805008568,1900-01-01 12:22:40
9,18316.375774199823,6.310603901560495,32399.997760956172,137.13689901801598,-0.09701164341919324,-0.4029895544892068,201.4925000000003,102.30500000000211,0.004318108445387861,1.1847765311764575,1900-01-01 12:22:50
10,18386.621652293466,6.315326574641941,32368.25162725451,140.43904230949082,-0.4960778188740724,0.284603418455704,203.52500000000146,101.65999999999985,0.004160701508177475,1.1821863912610528,1900-01-01 12:23:00
11,19594.110762263765,6.354284663350475,32398.929705179286,143.94840335882336,-0.3203079937163313,-0.0830895609064859,215.74749999999767,108.36999999999716,0.0044080973651894825,1.180954791814165,1900-01-01 12:23:10
12,20555.887158783225,6.493917900680848,32343.304100200396,166.0122722483374,-0.5234209952758018,1.2615975470825678,209.4350000000013,105.20999999999913,0.00460016759714032,1.1804300002804178,1900-01-01 12:23:20
13,21320.40406119844,6.412130980107792,32250.603270916334,151.50849894644944,-0.33849637587694686,0.166977348820057,206.94250000000102,103.79500000000007,0.004427451785270706,1.181204610328178,1900-01-01 12:23:30
14,23213.035844872742,6.39042860493373,32272.15090438247,150.59509740072644,-0.13436946751795345,-0.5536771293680345,229.8575000000019,114.51000000000022,0.0048009860748640535,1.1801518570704483,1900-01-01 12:23:40
15,23994.978832851702,6.5060491883124465,32192.621735470937,171.58472989500098,-0.4538270946446643,-0.08194437310589553,245.8100000000013,123.22999999999956,0.004774044441672644,1.1803741416228388,1900-01-01 12:23:50
16,24817.600026928965,6.420371382055688,32135.394836653384,156.55298955751576,-0.19164839192393418,-0.35735990610471946,233.0124999999971,116.70000000000073,0.004844402066140675,1.1797867877713706,1900-01-01 12:24:00
17,18805.40499983579,6.313970467876577,32130.572533066133,139.3593918334203,-0.157912826519026,-0.2634232950568607,194.52999999999884,98.33000000000175,0.004444958758712279,1.1809943066728543,1900-01-01 12:24:10
18,21336.273554157528,6.3971558338847405,32114.77856686627,151.2438949460939,-0.26835867148572,-0.10248967900503692,214.3100000000013,107.13000000000102,0.0047887650194048635,1.180437239696665,1900-01-01 12:24:20
19,17709.12010557655,6.229780941023405,32101.331779559114,132.53014755950355,-0.601717082923179,0.41706991162575946,189.38000000000466,93.7599999999984,0.003995818236751395,1.1814288495595395,1900-01-01 12:24:30
20,15309.427748480932,6.1864950479991325,32130.66449800797,123.99289511858107,-0.4923410772651542,0.24646786561603662,176.3050000000003,87.40500000000065,0.0038815744657285825,1.184059908905565,1900-01-01 12:24:40
21,18093.464883389137,6.273935294318161,32140.11266533066,133.57839243650923,-0.42345418920259664,0.1411199277964461,195.90000000000146,97.72000000000116,0.004070998751747347,1.1817365796956287,1900-01-01 12:24:50
22,13975.045646776009,6.19989260941015,32122.23699601594,123.68024812714766,-0.37729530623863217,-0.07266175245474216,174.30999999999767,87.95000000000073,0.0037893923375376943,1.182515388381765,1900-01-01 12:25:00
23,15513.575969818605,6.267722844270402,32030.40555511022,136.5178737561946,-0.7137480475071242,0.8519506598554751,177.80999999999767,89.09999999999854,0.0036419075004045535,1.1823246077131153,1900-01-01 12:25:10
24,13576.279756406355,6.246065917585614,32010.965617529877,128.60289499444917,-0.2935356665969591,0.2915750729001072,166.57500000000073,82.79999999999927,0.003801024151070142,1.1831180074487029,1900-01-01 12:25:20
25,17310.31662122326,6.297390215092956,31972.270999999997,135.6349058523421,-0.3729927134376512,0.2715120026039921,186.98749999999927,92.97499999999854,0.004043660545735516,1.1814225320843028,1900-01-01 12:25:30
26,18246.140745059733,6.261046816749498,32034.37831262525,131.2424982745496,-0.5044517776823302,0.389074316009975,180.0,87.45999999999913,0.004010946616253655,1.1823236279062292,1900-01-01 12:25:40
