participant,ftime,label,power_1,differential_entropy1,mean1,std1,skew1,kurtosis1,iqr1,median1,hjorth_01,hjorth_11,power_4,differential_entropy4,mean4,std4,skew4,kurtosis4,iqr4,median4,hjorth_04,hjorth_14,power_5,differential_entropy5,mean5,std5,skew5,kurtosis5,iqr5,median5,hjorth_05,hjorth_15,power_6,differential_entropy6,mean6,std6,skew6,kurtosis6,iqr6,median6,hjorth_06,hjorth_16,power_7,differential_entropy7,mean7,std7,skew7,kurtosis7,iqr7,median7,hjorth_07,hjorth_17,power_8,differential_entropy8,mean8,std8,skew8,kurtosis8,iqr8,median8,hjorth_08,hjorth_18
1,10:28:39,0,316152.9644,8.329182384,33962.05695,1618.6418,1.054317065,0.3912179028,1581.965,689.32,0.009799254489,1.172613447,556.4791730328405,5.77283291823566,-27326.964374502,89.75367760783213,0.2139752538581759,-1.1657790242648158,157.77249999999913,73.125,0.0007998213265058,1.1963068050469827,22161.922475391733,6.288901364827091,540.7548884462151,152.4329242453596,-0.0091710389136205,-1.1369593455700815,261.05500000000006,130.67999999999998,0.2960230998753865,1.1750320326921049,276.63840057368066,6.3064685218164085,-23321.345609561755,169.98150438853693,0.0835105864118923,-1.3216150723745457,314.0224999999991,154.17000000000007,0.0005051326478377,1.2484595921662955,292987.6442564841,7.612623003501424,-36508.09492828685,550.3626001762871,-0.0017863248969761,-1.0901389659066558,904.520000000004,463.6250000000037,0.0163080552889646,1.1749833143770834,1127.2099417013671,5.271437214027782,-25879.144780876493,49.225926117881656,-0.0923075492623787,-0.2798010672057884,70.04000000000087,35.090000000000146,0.0013651717998427,1.1811183556173814
1,10:28:59,0,52238.93989,6.67934027,34970.91626,226.3725167,0.1783257391,-1.04099707,377.0225,178.925,0.00711426928,1.174820163,562.9184419902246,6.010241215098132,-26628.179027888447,111.2263971324029,0.3020036548722889,-0.9080974504334524,184.88000000000105,87.19000000000051,0.0006992255962405,1.2200813250461653,18594.61603414224,6.2647430395487,991.1445498007968,146.57696359126143,-0.1697694049639067,-0.9103969565158608,233.4975000000001,113.30999999999996,0.1510593349266841,1.174788258542134,374.808576318497,6.33761822253942,-22125.63130677291,181.9308683905843,0.0968512605001966,-1.275706877829854,314.5300000000025,162.46500000000196,0.0005016106563051,1.2734998616694515,244528.1198730171,7.632774382129445,-34080.60915139442,553.5379070588685,0.4028288560249244,-0.6298549723307496,909.832500000004,394.97499999999854,0.0155097375132817,1.174444490629884,1051.828754229487,5.363187501333538,-25647.338749003982,57.27975786144775,0.7810225872463784,0.7594375197160463,63.46500000000015,31.729999999999563,0.0011897865128506,1.1835578040781245
1,10:29:19,0,8995.845745,7.053253724,32046.31699,384.6283542,-1.237420303,0.8169882683,354.0,167.34,0.002128533911,1.175132982,655.6324949842992,5.87644679723315,-26143.28811774129,96.20303028712276,0.350618586308938,-0.7603717567315202,155.5,74.37999999999738,0.0003976356977413,1.239560374320784,3866.4124502047366,5.970676169605516,1441.977132559071,99.06024578154856,0.0672943683151379,-0.5546955544360266,144.53999999999996,71.79999999999995,0.0453558150263414,1.1765094930706643,556.51981661705,6.103546655579375,-21443.885698838607,124.94699453085282,0.4620703362614138,-0.3583051094992524,179.02000000000044,89.22000000000116,0.0004803863639148,1.2617357497458206,55165.88850999515,7.274021770925411,-34419.67062875451,390.370634308014,1.5162626841964162,8.154252882413946,423.3399999999965,213.0699999999997,0.0046639640779829,1.1572155654383331,757.4066592753719,5.402481267539399,-25411.844753704445,58.10635475285477,0.143098435181135,-0.0047995043451383,82.7599999999984,42.58000000000175,0.0003856498785338,1.234241944756329
1,10:29:59,0,7056.253901,6.181402306,31145.52422,124.0251631,-0.0802072455,-0.5171038082,185.795,93.49,0.001295758576,1.170980243,959.1313957281592,5.312000900209782,-25079.73899398798,53.57751765494642,-0.1311424528800305,-0.8682954913848975,85.99999999999636,39.57999999999811,0.0003832996448483,1.2258982567792098,4389.7006075887375,5.8069050345516775,2345.685374749499,84.35147796309774,-0.0589943881572772,-0.5189696183203862,116.36500000000068,58.8100000000004,0.0292241947988946,1.1765938937240945,708.5404721871122,5.618489488114921,-19781.070396793588,77.10340410625469,0.0507800287357578,-1.119061582473218,133.95500000000175,66.04999999999927,0.0005095782030057,1.272829879237321,68289.93234378852,7.430632773403548,-32710.353462925847,419.3396768890572,0.4356085429744726,0.5824181891125964,544.5349999999962,272.2699999999968,0.0042287577640427,1.1554133811147176,1015.6702232182058,5.048353192775557,-24872.73554308617,40.36011376174961,0.0009204669620577,-0.9988372505624366,68.66500000000087,34.18000000000029,0.0004175570554347,1.2171933322387476
1,10:29:29,0,40242.17969,7.593251547,29023.60239,1220.389056,0.2069700275,-1.719914359,2511.5925,785.05,0.00109472469,1.142325184,459.5455037972959,5.712308009754079,-25902.949384492407,92.22429561595666,0.2695877355889154,-1.3102294505503609,170.29000000000087,76.16499999999905,0.0003684957307421,1.300442153775085,5430.498471798703,5.772799483262929,1665.703017585931,89.42555068812375,0.1594373236660817,-0.7531218468785745,146.08749999999986,71.12,0.048740328985098,1.1761008715672627,503.8783177882972,5.951495107347804,-21003.288764988007,119.11688420988196,0.3149203458086413,-1.193966644851593,206.58749999999785,103.23999999999978,0.0004678613828342,1.302604511219158,123699.82347581963,7.599100586206442,-33460.487378097525,538.0465482763276,-0.4992914239609175,0.248298233618248,647.4875000000029,310.2250000000022,0.0054535131939279,1.1599567484719295,461.1977859773912,5.179249806870259,-25283.21635891287,47.1013016291456,0.0345775205460093,-0.593690253917404,78.20499999999811,36.29999999999927,0.0004956921196258,1.2244497373275165
1,10:29:59,0,7056.253901,6.181402306,31145.52422,124.0251631,-0.0802072455,-0.5171038082,185.795,93.49,0.001295758576,1.170980243,959.1313957281592,5.312000900209782,-25079.73899398798,53.57751765494642,-0.1311424528800305,-0.8682954913848975,85.99999999999636,39.57999999999811,0.0003832996448483,1.2258982567792098,4389.7006075887375,5.8069050345516775,2345.685374749499,84.35147796309774,-0.0589943881572772,-0.5189696183203862,116.36500000000068,58.8100000000004,0.0292241947988946,1.1765938937240945,708.5404721871122,5.618489488114921,-19781.070396793588,77.10340410625469,0.0507800287357578,-1.119061582473218,133.95500000000175,66.04999999999927,0.0005095782030057,1.272829879237321,68289.93234378852,7.430632773403548,-32710.353462925847,419.3396768890572,0.4356085429744726,0.5824181891125964,544.5349999999962,272.2699999999968,0.0042287577640427,1.1554133811147176,1015.6702232182058,5.048353192775557,-24872.73554308617,40.36011376174961,0.0009204669620577,-0.9988372505624366,68.66500000000087,34.18000000000029,0.0004175570554347,1.2171933322387476
1,10:30:19,0,5230.209824,6.109622664,31823.04558,138.413616,-1.353325008,2.729610976,148.165,74.07,0.002073973325,1.176145296,461.79107427907695,5.954920993126752,-24691.4555991984,102.07285743350656,0.407439692383792,-0.6504227711411086,151.5749999999971,69.43000000000029,0.0004034077506007,1.2626077300365377,2899.743120755994,5.8979578243555535,2729.156352705411,90.86133061763438,0.0907447669558239,-0.2402817203772294,118.34000000000016,59.22999999999956,0.0210071645882708,1.1767045707815973,437.1016552620989,6.088188383312316,-19047.60414428858,128.75010126384413,0.3561327646995014,-0.7730805770127502,184.36999999999887,84.68999999999869,0.0006392198695937,1.2500957063181977,114082.16476112614,7.43410417830252,-34445.34534669339,618.0166200685804,1.5761105374258686,1.976315895087935,479.33000000000175,237.0,0.0049519924934766,1.1665117629557606,404.8732032006959,5.320370252020472,-24669.478557114227,56.080157166487005,0.8462957930285434,0.4675480061956012,66.50999999999476,32.62999999999738,0.0003494483088561,1.2709800415274402
1,10:29:19,0,8995.845745,7.053253724,32046.31699,384.6283542,-1.237420303,0.8169882683,354.0,167.34,0.002128533911,1.175132982,655.6324949842992,5.87644679723315,-26143.28811774129,96.20303028712276,0.350618586308938,-0.7603717567315202,155.5,74.37999999999738,0.0003976356977413,1.239560374320784,3866.4124502047366,5.970676169605516,1441.977132559071,99.06024578154856,0.0672943683151379,-0.5546955544360266,144.53999999999996,71.79999999999995,0.0453558150263414,1.1765094930706643,556.51981661705,6.103546655579375,-21443.885698838607,124.94699453085282,0.4620703362614138,-0.3583051094992524,179.02000000000044,89.22000000000116,0.0004803863639148,1.2617357497458206,55165.88850999515,7.274021770925411,-34419.67062875451,390.370634308014,1.5162626841964162,8.154252882413946,423.3399999999965,213.0699999999997,0.0046639640779829,1.1572155654383331,757.4066592753719,5.402481267539399,-25411.844753704445,58.10635475285477,0.143098435181135,-0.0047995043451383,82.7599999999984,42.58000000000175,0.0003856498785338,1.234241944756329
1,10:29:49,0,5462.791955,5.812329221,31149.86247,88.05599627,0.2685959204,0.9746626969,102.395,51.545,0.001530470995,1.174938057,808.1551089002054,5.798629510287174,-25283.506014434643,88.19677950008972,0.4759902597334315,-0.1324997798939473,117.10000000000218,57.900000000001455,0.000388536347525,1.2449619411436172,4099.782899993484,5.909811309628272,2129.69089414595,93.8454824437632,0.0363039001814692,-0.4151576204315907,134.26500000000033,67.40999999999985,0.0317038354622375,1.1777930350963786,706.8235649114457,6.104722393639192,-20135.31607858861,130.11729567224634,0.5203497171965922,-0.4454993525040986,171.6750000000029,85.06999999999971,0.0005141179058769,1.2617009603494016,105335.1344903226,7.838924896542511,-33534.40490777867,767.4544908126709,0.7297956147509229,0.8042135367031391,740.9225000000006,330.4799999999996,0.0044865078463417,1.159223561764511,756.4083556153978,5.301463603497853,-24995.48102245389,54.17440005027315,0.6423581385223263,0.458842867784516,65.23749999999927,32.25500000000102,0.0004014437919659,1.2255048233504804
1,10:30:09,0,11233.52002,6.716572902,30921.62441,233.3682935,-0.832808701,0.2076842507,283.0925,126.89,0.002089506381,1.177726199,515.6664200599338,5.185749407717688,-24951.92100796813,44.800284730481465,0.3658200103284775,-0.2725039599977088,63.15250000000015,31.6349999999984,0.000470508326549,1.3191405009221429,8847.496235592102,5.840060310501096,2542.026135458167,93.38809923481053,0.1867463938932834,-1.0787542631903717,157.21000000000004,77.54500000000007,0.0401638505196154,1.176723919392801,563.1439072074609,5.869897607309047,-19430.32658565737,104.29422322842406,-0.1592911902611961,-1.0373805870789825,192.9875000000029,94.43000000000212,0.0005958192653999,1.3432230826699498,338795.8679564632,8.09567061658927,-33681.321227091634,866.2336373184319,0.662626369885034,0.6145033049183812,1054.7049999999945,534.2200000000012,0.0101465574499904,1.1608487484275836,743.830785687174,4.9572542645187685,-24779.39037051793,34.86246109053418,-0.2258387430513473,-0.1973524789170904,49.0625,24.05500000000029,0.000726207260405,1.2358508076705292
