task,file,end
1,1,00:05:29
1,2,00:08:41
1,3,00:11:57
1,4,00:16:39
2,1,00:28:46
2,2,00:30:31
2,3,00:34:28
2,4,00:41:10
3,1,00:47:08
3,2,00:51:20
3,3,00:54:44
3,4,00:59:15
