task,file,end
1,1,00:08:40
1,2,00:10:57
1,3,00:12:43
1,4,00:15:33
2,1,00:18:37
2,2,00:20:38
2,3,00:23:23
2,4,00:26:15
3,1,00:30:21
3,2,00:32:22
3,3,00:36:24
3,4,00:38:55
