task,file,end
1,1,00:02:47
1,2,00:08:14
1,3,00:10:19
1,4,00:16:40
2,1,00:21:51
2,2,00:23:59
2,3,00:28:48
2,4,00:32:59
3,1,00:40:56
3,2,00:44:25
3,3,00:50:46
3,4,00:52:27
