task,file,end
1,1,00:10:16
1,2,00:12:50
1,3,00:15:42
1,4,00:26:08
2,1,00:29:31
2,2,00:31:56
2,3,00:34:39
2,4,00:38:49
3,1,00:41:31
3,2,00:45:37
3,3,00:49:15
3,4,00:53:56
