task,file,end
1,1,00:06:56
1,2,00:09:17
1,3,00:12:45
1,4,00:17:15
2,1,00:25:27
2,2,00:27:30
2,3,00:32:12
2,4,00:36:34
3,1,00:41:39
3,2,00:43:37
3,3,00:48:58
3,4,00:53:59
