task,file,end
1,1,00:14:01
1,2,00:16:00
1,3,00:17:34
1,4,00:23:30
2,1,00:27:30
2,2,00:29:57
2,3,00:33:12
2,4,00:39:04
3,1,00:41:59
3,2,00:46:32
3,3,00:49:36
3,4,00:53:33
