task,file,end
1,1,00:03:42
1,2,00:10:52
1,3,00:16:33
2,1,00:22:06
2,2,00:25:14
2,3,00:31:46
2,4,00:33:57
3,1,00:40:45
3,2,00:45:47
3,3,00:51:59
