task,file,end
1,1,00:07:26
1,2,00:09:18
1,3,00:12:36
1,4,00:18:21
2,1,00:22:38
2,2,00:24:07
2,3,00:26:25
2,4,00:30:15
3,1,00:33:13
3,2,00:35:20
3,3,00:37:53
3,4,00:39:15
