task,file,end
1,1,00:03:16
1,2,00:05:37
1,3,00:08:50
1,4,00:11:42
2,1,00:21:46
2,2,00:25:10
2,3,00:27:49
3,1,00:33:27
3,2,00:36:41
3,3,00:39:19
3,4,00:44:20
