task,file,end
1,1,00:15:15
1,2,00:19:20
1,3,00:22:10
1,4,00:26:42
2,1,00:31:37
2,2,00:34:39
2,3,00:37:33
2,4,00:42:33
3,1,00:49:38
3,2,00:52:53
3,3,00:55:38
3,4,01:00:23
