task,file,end
1,1,00:14:31
1,2,00:17:44
1,3,00:21:56
1,4,00:26:36
2,1,00:31:50
2,2,00:33:07
2,3,00:35:54
2,4,00:39:16
3,1,00:45:19
3,2,00:49:45
3,3,00:53:22
3,4,00:56:24
