start,end
"(0, 2, 11)","(0, 2, 26)"
"(0, 3, 18)","(0, 3, 34)"
"(0, 4, 53)","(0, 5, 21)"
"(0, 5, 33)","(0, 5, 55)"
"(0, 7, 18)","(0, 7, 40)"
"(0, 9, 31)","(0, 9, 49)"
"(0, 10, 20)","(0, 10, 46)"
"(0, 12, 7)","(0, 12, 56)"
"(0, 13, 22)","(0, 13, 47)"
"(0, 14, 57)","(0, 15, 10)"
"(0, 16, 18)","(0, 19, 39)"
"(0, 19, 53)","(0, 25, 59)"
"(0, 26, 14)","(0, 27, 43)"
"(0, 27, 53)","(0, 31, 17)"
"(0, 0, 12)","(0, 0, 12)"
"(0, 0, 12)","(0, 1, 46)"
"(0, 0, 12)","(0, 2, 17)"
