start,end
"(0, 27, 57)","(0, 28, 6)"
"(0, 28, 14)","(0, 28, 24)"
"(0, 29, 47)","(0, 30, 20)"
"(0, 31, 24)","(0, 31, 33)"
"(0, 33, 58)","(0, 34, 6)"
"(0, 37, 20)","(0, 37, 36)"
"(0, 37, 55)","(0, 38, 2)"
"(0, 38, 35)","(0, 38, 50)"
"(0, 40, 22)","(0, 40, 46)"
"(0, 44, 2)","(0, 58, 51)"
"(0, 0, 29)","(0, 0, 29)"
