start,end
"(0, 1, 57)","(0, 2, 14)"
"(0, 3, 40)","(0, 4, 22)"
"(0, 5, 12)","(0, 6, 37)"
"(0, 7, 21)","(0, 7, 41)"
"(0, 8, 36)","(0, 9, 1)"
"(0, 10, 35)","(0, 10, 44)"
"(0, 11, 21)","(0, 11, 31)"
"(0, 11, 57)","(0, 12, 11)"
"(0, 12, 57)","(0, 13, 9)"
"(0, 13, 27)","(0, 13, 56)"
"(0, 14, 30)","(0, 14, 36)"
"(0, 22, 13)","(0, 22, 15)"
"(0, 23, 12)","(0, 23, 37)"
"(0, 23, 47)","(0, 24, 13)"
"(0, 26, 9)","(0, 27, 24)"
"(0, 28, 23)","(0, 28, 38)"
"(0, 29, 58)","(0, 30, 28)"
"(0, 31, 27)","(0, 31, 41)"
"(0, 34, 6)","(0, 34, 31)"
"(0, 35, 36)","(0, 35, 41)"
"(0, 37, 13)","(0, 41, 35)"
"(0, 41, 46)","(0, 43, 32)"
"(0, 43, 51)","(0, 48, 13)"
"(0, 49, 5)","(0, 50, 54)"
"(0, 1, 25)","(0, 1, 26)"
