participant,task,file,start,end
25,2,3.py,32:04,32:42
25,2,3.py,32:59,33:04
25,2,4.c,33:44,34:01
25,2,4.c,34:35,34:48
25,2,4.c,36:02,36:07
25,2,4.c,36:46,37:13
25,3,1.py,39:32,41:54
25,3,2.txt,42:03,46:31
25,3,3.py,46:37,49:36
25,3,4.txt,49:44,52:44
26,2,1.py,02:11,02:26
26,2,1.py,03:18,03:34
26,2,2.c,04:53,05:21
26,2,2.c,05:33,05:55
26,2,3.py,07:18,07:40
26,2,3.py,09:31,09:49
26,2,3.py,10:20,10:46
26,2,4.c,12:07,12:56
26,2,4.c,13:22,13:47
26,2,4.c,14:57,15:10
26,3,1.py,16:18,19:39
26,3,2.txt,19:53,25:59
26,3,3.py,26:14,27:43
26,3,4.txt,27:53,31:17
27,1,1.py,01:57,02:14
27,1,1.py,03:40,04:22
27,1,1.py,05:12,06:37
27,1,2.py,07:21,07:41
27,1,2.py,08:36,09:01
27,1,3.py,10:35,10:44
27,1,3.py,11:21,11:31
27,1,3.py,11:57,12:11
27,1,4.py,12:57,13:09
27,1,4.py,13:27,13:56
27,1,4.py,14:30,14:36
27,2,1.py,22:13,22:15
27,2,1.py,23:12,23:37
27,2,1.py,23:47,24:13
27,2,2.c,26:09,27:24
27,2,3.py,28:23,28:38
27,2,3.py,29:58,30:28
27,2,3.py,31:27,31:41
27,2,4.c,34:06,34:31
27,2,4.c,35:36,35:41
27,3,1.py,37:13,41:35
27,3,2.txt,41:46,43:32
27,3,3.py,43:51,48:13
27,3,4.txt,49:05,50:54
28,1,1.py,01:04,01:22
28,1,1.py,01:35,01:55
28,1,2.py,02:41,03:03
28,1,2.py,03:07,03:25
28,1,3.py,05:01,05:30
28,1,4.py,06:54,07:23
28,2,1.py,15:14,15:24
28,2,1.py,16:17,17:13
28,2,2.c,18:00,18:35
28,2,3.py,20:29,20:42
28,2,4.c,22:20,22:22
28,2,4.c,22:50,23:15
28,3,1.py,24:19,28:10
28,3,2.txt,28:29,31:01
28,3,3.py,31:23,34:08
28,3,4.txt,34:29,36:52
29,1,1.py,08:20,08:42
29,1,1.py,09:25,10:02
29,1,2.py,10:27,10:44
29,1,2.py,11:12,11:28
29,1,2.py,12:00,12:27
29,1,3.py,13:19,13:33
29,1,3.py,13:54,14:03
29,1,3.py,14:26,14:53
29,1,4.py,21:09,21:14
29,1,4.py,21:31,21:37
29,1,4.py,22:19,22:28
29,1,4.py,23:27,23:34
29,1,4.py,24:53,24:59
29,2,1.py,27:14,27:20
29,2,2.c,29:44,30:18
29,2,2.c,30:43,31:25
29,2,2.c,31:27,31:35
29,2,3.py,32:27,32:43
29,2,3.py,33:26,34:22
29,2,4.c,35:31,35:51
29,2,4.c,36:06,36:26
29,2,4.c,36:47,37:02
29,2,4.c,37:29,37:35
29,3,1.py,39:37,41:00
29,3,2.txt,41:36,45:31
29,3,3.py,45:44,49:03
29,3,4.txt,49:24,53:24
30,1,1.py,01:03,01:17
30,1,1.py,01:38,01:50
30,1,1.py,02:07,02:28
30,1,1.py,02:43,02:56
30,1,2.py,03:46,04:21
30,1,2.py,04:33,04:43
30,1,3.py,07:35,07:55
30,1,3.py,08:13,08:34
30,1,4.py,09:54,10:11
30,1,4.py,10:49,11:08
30,2,1.py,14:20,14:52
30,2,1.py,15:50,16:43
30,2,1.py,18:41,19:21
30,2,1.py,20:09,20:32
30,2,1.py,21:27,21:40
30,2,2.c,22:35,23:44
30,2,2.c,24:06,24:30
30,2,3.py,26:52,27:17
30,3,1.py,28:38,33:18
30,3,2.txt,33:34,36:32
30,3,3.py,36:48,39:13
30,3,4.txt,39:25,43:34
